time,callsign,x,vx,y,vy,z,vz
161.0,TARGET_001,35308.63613997295,218.12939642081133,12796.884290650398,78.36246542558985,8376.330580728216,0.4586125190417907
162.0,TARGET_001,35526.764751700226,218.15717843068654,12875.379629852016,78.62775752540861,8376.709601078968,0.32707674245442564
163.0,TARGET_001,35744.8779886735,218.08463677581554,12954.0541125505,78.49221864536435,8376.883879467503,0.08002119045468573
164.0,TARGET_001,35963.126295508904,218.21740413160043,13032.456018682893,78.60534815628858,8377.00554489734,0.18689713542065758
165.0,TARGET_001,36181.24103580598,218.13208612069417,13110.894737861385,78.56630158446333,8377.122080076371,0.16392596632656772
166.0,TARGET_001,36399.2883779932,217.93852901174176,13189.59525817133,78.82519795280909,8377.256439646322,0.06008609360308394
167.0,TARGET_001,36617.35179742576,218.266580284593,13268.481866226386,78.92457717571938,8377.414114700608,0.14325816576068062
168.0,TARGET_001,36835.57555350442,217.98365710028045,13347.23197480652,78.52660214603007,8377.599270240367,0.15931323194701905
169.0,TARGET_001,37053.32352182565,217.58024312671967,13425.634752551332,78.37636004938595,8377.739907435021,0.07655539374427074
170.0,TARGET_001,37270.829975741835,217.4773827209453,13504.188651213091,78.83811748013186,8377.842676020904,0.16439732975035287
171.0,TARGET_001,37488.14999677687,217.11202782314953,13582.92321127467,78.6306097710311,8377.997373119604,0.16730048867540398
172.0,TARGET_001,37705.2164941555,216.86884905442886,13661.553624778197,78.70155037776007,8378.139679273057,0.04858783232502886
173.0,TARGET_001,37922.010238253395,216.6843264009959,13740.515553767265,78.92055807242122,8378.101518051782,-0.16315486231161447
174.0,TARGET_001,38138.6990249062,216.6889910941461,13819.332363668822,78.67992037086265,8377.957068216323,-0.10309268426264943
175.0,TARGET_001,38355.45114131096,216.90261145902096,13898.022179960393,78.48075055735943,8377.855686264807,-0.0613591454696902
176.0,TARGET_001,38572.272601875244,216.88446932050263,13976.603100620712,78.5469253459573,8377.81626809758,0.13345337630447077
177.0,TARGET_001,38788.94148590898,216.48647935434406,14055.099882820447,78.29698908048074,8378.009317255919,0.17872357198721517
178.0,TARGET_001,39005.23197939432,216.3747540298691,14133.400547069512,78.36007167400922,8378.21240986791,0.23364532630864554
179.0,TARGET_001,39221.443990908476,216.2164880983446,14211.580203221072,78.1488176304703,8378.362567571172,-0.0018838823377100578
180.0,TARGET_001,39437.63857700434,216.04475060112955,14289.649933933842,78.18550439599451,8378.248103596416,-0.19404327005135533
181.0,TARGET_001,39653.45146773542,215.71727472764536,14367.762287104428,78.11486719799927,8378.151556178218,-0.040886396429108546
182.0,TARGET_001,39869.21952262982,215.8226486654194,14445.824306443652,77.98210867242557,8378.097541739802,-0.08322006032238108
183.0,TARGET_001,40084.96375208415,215.5699923969168,14523.821524989846,78.12916180911425,8377.959700675847,-0.21483629401563142
184.0,TARGET_001,40300.55922478042,215.36602938091553,14601.843302070452,78.28479691518123,8377.685247935651,-0.31039781351796136
185.0,TARGET_001,40515.95857072749,215.52177132991565,14680.15498473035,78.2460820065778,8377.348948222143,-0.327593402732864
186.0,TARGET_001,40731.323006606486,215.24926740428793,14758.512520112125,78.2774935154898,8377.070236131975,-0.22204244066283782
187.0,TARGET_001,40946.64865314877,215.41271618867833,14836.921103115586,78.52301315899184,8376.919644381673,-0.14004060048982891
188.0,TARGET_001,41161.98351535534,215.28884351783503,14915.250696961968,78.13991517494694,8376.833422321813,0.0018366229596122885
189.0,TARGET_001,41377.18545050888,215.14204396806795,14993.443594426146,78.0956457255204,8376.797007714873,0.07064677638811812
