time,global_track_id,x,y,vx,vy,pos_sigma_m,fused_tq,prob,n_linked_sources
77.14,GT-0148,6467.995752213279,13319.920787685372,65.62151277892217,78.04323504905311,39.67224181294297,14,0.958,4
78.39,GT-0004,7946.441651353006,9838.612535572689,95.72082126245564,0.3908183525103084,40.26734724080002,14,0.982,4
78.39,GT-0148,6550.022643186931,13417.47483149669,65.62151277892217,78.04323504905311,39.70316507641892,14,0.929,4
78.8,GT-0004,7985.687188070612,9838.772771097218,95.72082126245564,0.3908183525103084,40.41411826857363,14,0.953,4
78.8,GT-0148,6576.927463426289,13449.4725578668,65.62151277892217,78.04323504905311,39.7284457064602,14,0.901,4
79.17,GT-0004,8021.1038919377215,9838.917373887647,95.72082126245564,0.3908183525103084,40.56592431531618,14,0.924,4
79.17,GT-0148,6601.207423154491,13478.34855483495,65.62151277892217,78.04323504905311,39.76011780685591,14,0.874,4
79.41,GT-0004,8044.076889040711,9839.01117029225,95.72082126245564,0.3908183525103084,40.67472327619686,14,0.896,4
79.41,GT-0148,6616.979112742892,13497.05243250395,65.64058504140044,78.01978620134003,39.79392520713994,14,0.983,4
80.63,GT-0004,8160.856290980906,9839.487968682311,95.72082126245564,0.3908183525103084,41.363916120568035,14,0.869,4
80.63,GT-0148,6697.0606264934,13592.236571669584,65.64058504140044,78.01978620134003,39.999014399020645,14,0.953,4
80.63,GT-0174,6107.031135538882,7215.080103206206,-79.70068765225322,4.3384269344384485,374.69127829579304,6,0.899,4
80.64,GT-0148,6697.717032343815,13593.016769531598,65.64058504140044,78.01978620134003,40.00128686947606,14,0.925,4
80.64,GT-0174,6106.23412866236,7215.123487475551,-79.70068765225322,4.3384269344384485,374.6999964275293,6,0.872,4
80.64,GT-0175,6307.678066970779,13919.153034021136,64.50473892707754,77.87604196292503,93.30680212036124,11,0.936,1
80.67,GT-0076,7725.428728442236,10121.010248048997,97.60829399254936,-0.5322046037074415,76.99693082458683,12,0.942,2
80.67,GT-0148,6699.686249895057,13595.357363117639,65.64058504140044,78.01978620134003,40.008167917287274,14,0.897,4
80.67,GT-0175,6309.613209138591,13921.489315280023,64.50473892707754,77.87604196292503,93.32190423496965,11,0.907,1
81.64,GT-0076,7820.108773615009,10120.4940095834,97.60829399254936,-0.5322046037074415,77.84803916153216,12,0.914,2
81.64,GT-0148,6763.357617385215,13671.036555732939,65.64058504140044,78.01978620134003,40.28581925602662,14,0.87,4
81.64,GT-0175,6372.182805897856,13997.029075984061,64.50473892707754,77.87604196292503,93.86210187962034,11,0.88,1
82.03,GT-0004,8295.072532847593,9840.225560307039,95.75375037222916,0.39589697647613775,42.46583628386817,14,0.966,5
82.03,GT-0076,7858.176008272104,10120.286449787955,97.60829399254936,-0.5322046037074415,78.21977845405738,12,0.886,2
